type,name,input_id,time,team,meas_id
STOP,ComputeCosine,Pride1_Sense6,,BlaskoG,Pride1_Sense6
QUEUE,Tokenize1,Pride2,,BlaskoG,Pride2_Sense1
QUEUE,Tokenize2,Sense1,,BlaskoG,Pride2_Sense1
START,Tokenize1,Pride2,,BlaskoG,Pride2_Sense1
START,Tokenize2,Sense1,,BlaskoG,Pride2_Sense1
QUEUE,Collect2,Sense1,,BlaskoG,Pride2_Sense1
START,Collect2,Sense1,,BlaskoG,Pride2_Sense1
QUEUE,Collect1,Pride2,,BlaskoG,Pride2_Sense1
START,Collect1,Pride2,,BlaskoG,Pride2_Sense1
STOP,Collect2,Sense1,,BlaskoG,Pride2_Sense1
STOP,Tokenize2,Sense1,,BlaskoG,Pride2_Sense1
STOP,Collect1,Pride2,,BlaskoG,Pride2_Sense1
STOP,Tokenize1,Pride2,,BlaskoG,Pride2_Sense1
QUEUE,ComputeScalar1,Pride2,,BlaskoG,Pride2_Sense1
QUEUE,ComputeScalar2,Sense1,,BlaskoG,Pride2_Sense1
START,ComputeScalar1,Pride2,,BlaskoG,Pride2_Sense1
STOP,ComputeScalar1,Pride2,,BlaskoG,Pride2_Sense1
QUEUE,ComputeScalar3,Pride2_Sense1,,BlaskoG,Pride2_Sense1
START,ComputeScalar2,Pride2,,BlaskoG,Pride2_Sense1
STOP,ComputeScalar2,Pride2,,BlaskoG,Pride2_Sense1
START,ComputeScalar3,Pride2_Sense1,,BlaskoG,Pride2_Sense1
STOP,ComputeScalar3,Pride2_Sense1,,BlaskoG,Pride2_Sense1
QUEUE,ComputeCosine,Pride2_Sense1,,BlaskoG,Pride2_Sense1
START,ComputeCosine,Pride2_Sense1,,BlaskoG,Pride2_Sense1
STOP,ComputeCosine,Pride2_Sense1,,BlaskoG,Pride2_Sense1
QUEUE,Tokenize1,Pride2,,BlaskoG,Pride2_Sense2
QUEUE,Tokenize2,Sense2,,BlaskoG,Pride2_Sense2
START,Tokenize1,Pride2,,BlaskoG,Pride2_Sense2
START,Tokenize2,Sense2,,BlaskoG,Pride2_Sense2
QUEUE,Collect2,Sense2,,BlaskoG,Pride2_Sense2
START,Collect2,Sense2,,BlaskoG,Pride2_Sense2
QUEUE,Collect1,Pride2,,BlaskoG,Pride2_Sense2
START,Collect1,Pride2,,BlaskoG,Pride2_Sense2
STOP,Collect2,Sense2,,BlaskoG,Pride2_Sense2
STOP,Tokenize2,Sense2,,BlaskoG,Pride2_Sense2
STOP,Collect1,Pride2,,BlaskoG,Pride2_Sense2
STOP,Tokenize1,Pride2,,BlaskoG,Pride2_Sense2
QUEUE,ComputeScalar1,Pride2,,BlaskoG,Pride2_Sense2
QUEUE,ComputeScalar2,Sense2,,BlaskoG,Pride2_Sense2
START,ComputeScalar1,Pride2,,BlaskoG,Pride2_Sense2
QUEUE,ComputeScalar3,Pride2_Sense2,,BlaskoG,Pride2_Sense2
START,ComputeScalar2,Sense2,,BlaskoG,Pride2_Sense2
START,ComputeScalar3,Pride2_Sense2,,BlaskoG,Pride2_Sense2
STOP,ComputeScalar1,Pride2,,BlaskoG,Pride2_Sense2
STOP,ComputeScalar2,Sense2,,BlaskoG,Pride2_Sense2
STOP,ComputeScalar3,Pride2_Sense2,,BlaskoG,Pride2_Sense2
QUEUE,ComputeCosine,Pride2_Sense2,,BlaskoG,Pride2_Sense2
START,ComputeCosine,Pride2_Sense2,,BlaskoG,Pride2_Sense2
STOP,ComputeCosine,Pride2_Sense2,,BlaskoG,Pride2_Sense2
QUEUE,Tokenize1,Pride2,,BlaskoG,Pride2_Sense3
QUEUE,Tokenize2,Sense3,,BlaskoG,Pride2_Sense3
START,Tokenize2,Sense3,,BlaskoG,Pride2_Sense3
START,Tokenize1,Pride2,,BlaskoG,Pride2_Sense3
QUEUE,Collect1,Pride2,,BlaskoG,Pride2_Sense3
QUEUE,Collect2,Sense3,,BlaskoG,Pride2_Sense3
START,Collect1,Pride2,,BlaskoG,Pride2_Sense3
START,Collect2,Sense3,,BlaskoG,Pride2_Sense3
STOP,Collect1,Pride2,,BlaskoG,Pride2_Sense3
STOP,Tokenize1,Pride2,,BlaskoG,Pride2_Sense3
STOP,Collect2,Sense3,,BlaskoG,Pride2_Sense3
STOP,Tokenize2,Sense3,,BlaskoG,Pride2_Sense3
QUEUE,ComputeScalar1,Pride2,,BlaskoG,Pride2_Sense3
QUEUE,ComputeScalar2,Sense3,,BlaskoG,Pride2_Sense3
START,ComputeScalar1,Pride2,,BlaskoG,Pride2_Sense3
QUEUE,ComputeScalar3,Pride2_Sense3,,BlaskoG,Pride2_Sense3
START,ComputeScalar2,Sense3,,BlaskoG,Pride2_Sense3
START,ComputeScalar3,Pride2_Sense3,,BlaskoG,Pride2_Sense3
STOP,ComputeScalar1,Pride2,,BlaskoG,Pride2_Sense3
STOP,ComputeScalar2,Sense3,,BlaskoG,Pride2_Sense3
STOP,ComputeScalar3,Pride2_Sense3,,BlaskoG,Pride2_Sense3
QUEUE,ComputeCosine,Pride2_Sense3,,BlaskoG,Pride2_Sense3
START,ComputeCosine,Pride2_Sense3,,BlaskoG,Pride2_Sense3
STOP,ComputeCosine,Pride2_Sense3,,BlaskoG,Pride2_Sense3
QUEUE,Tokenize1,Pride2,,BlaskoG,Pride2_Sense4
QUEUE,Tokenize2,Sense4,,BlaskoG,Pride2_Sense4
START,Tokenize1,Pride2,,BlaskoG,Pride2_Sense4
START,Tokenize2,Sense4,,BlaskoG,Pride2_Sense4
QUEUE,Collect1,Pride2,,BlaskoG,Pride2_Sense4
START,Collect1,Pride2,,BlaskoG,Pride2_Sense4
QUEUE,Collect2,Sense4,,BlaskoG,Pride2_Sense4
START,Collect2,Sense4,,BlaskoG,Pride2_Sense4
STOP,Collect1,Pride2,,BlaskoG,Pride2_Sense4
STOP,Tokenize1,Pride2,,BlaskoG,Pride2_Sense4
QUEUE,ComputeScalar1,Pride2,,BlaskoG,Pride2_Sense4
START,ComputeScalar1,Pride2,,BlaskoG,Pride2_Sense4
STOP,ComputeScalar1,Pride2,,BlaskoG,Pride2_Sense4
STOP,Collect2,Sense4,,BlaskoG,Pride2_Sense4
STOP,Tokenize2,Sense4,,BlaskoG,Pride2_Sense4
QUEUE,ComputeScalar2,Sense4,,BlaskoG,Pride2_Sense4
QUEUE,ComputeScalar3,Pride2_Sense4,,BlaskoG,Pride2_Sense4
START,ComputeScalar2,Sense4,,BlaskoG,Pride2_Sense4
STOP,ComputeScalar2,Sense4,,BlaskoG,Pride2_Sense4
START,ComputeScalar3,Pride2_Sense4,,BlaskoG,Pride2_Sense4
STOP,ComputeScalar3,Pride2_Sense4,,BlaskoG,Pride2_Sense4
QUEUE,ComputeCosine,Pride2_Sense4,,BlaskoG,Pride2_Sense4
START,ComputeCosine,Pride2_Sense4,,BlaskoG,Pride2_Sense4
STOP,ComputeCosine,Pride2_Sense4,,BlaskoG,Pride2_Sense4
QUEUE,Tokenize1,Pride2,,BlaskoG,Pride2_Sense5
QUEUE,Tokenize2,Sense5,,BlaskoG,Pride2_Sense5
START,Tokenize1,Pride2,,BlaskoG,Pride2_Sense5
START,Tokenize2,Sense5,,BlaskoG,Pride2_Sense5
QUEUE,Collect1,Pride2,,BlaskoG,Pride2_Sense5
START,Collect1,Pride2,,BlaskoG,Pride2_Sense5
QUEUE,Collect2,Sense5,,BlaskoG,Pride2_Sense5
START,Collect2,Sense5,,BlaskoG,Pride2_Sense5
STOP,Collect1,Pride2,,BlaskoG,Pride2_Sense5
STOP,Tokenize1,Pride2,,BlaskoG,Pride2_Sense5
STOP,Collect2,Sense5,,BlaskoG,Pride2_Sense5
STOP,Tokenize2,Sense5,,BlaskoG,Pride2_Sense5
QUEUE,ComputeScalar1,Pride2,,BlaskoG,Pride2_Sense5
QUEUE,ComputeScalar2,Sense5,,BlaskoG,Pride2_Sense5
START,ComputeScalar1,Pride2,,BlaskoG,Pride2_Sense5
QUEUE,ComputeScalar3,Pride2_Sense5,,BlaskoG,Pride2_Sense5
START,ComputeScalar2,Sense5,,BlaskoG,Pride2_Sense5
STOP,ComputeScalar1,Pride2,,BlaskoG,Pride2_Sense5
STOP,ComputeScalar2,Sense5,,BlaskoG,Pride2_Sense5
START,ComputeScalar3,Pride2_Sense5,,BlaskoG,Pride2_Sense5
STOP,ComputeScalar3,Pride2_Sense5,,BlaskoG,Pride2_Sense5
QUEUE,ComputeCosine,Pride2_Sense5,,BlaskoG,Pride2_Sense5
START,ComputeCosine,Pride2_Sense5,,BlaskoG,Pride2_Sense5
STOP,ComputeCosine,Pride2_Sense5,,BlaskoG,Pride2_Sense5
QUEUE,Tokenize1,Pride2,,BlaskoG,Pride2_Sense6
QUEUE,Tokenize2,Sense6,,BlaskoG,Pride2_Sense6
START,Tokenize1,Pride2,,BlaskoG,Pride2_Sense6
START,Tokenize2,Sense6,,BlaskoG,Pride2_Sense6
QUEUE,Collect1,Pride2,,BlaskoG,Pride2_Sense6
START,Collect1,Pride2,,BlaskoG,Pride2_Sense6
STOP,Collect1,Pride2,,BlaskoG,Pride2_Sense6
STOP,Tokenize1,Pride2,,BlaskoG,Pride2_Sense6
QUEUE,ComputeScalar1,Pride2,,BlaskoG,Pride2_Sense6
START,ComputeScalar1,Pride2,,BlaskoG,Pride2_Sense6
QUEUE,Collect2,Sense6,,BlaskoG,Pride2_Sense6
START,Collect2,Sense6,,BlaskoG,Pride2_Sense6
STOP,ComputeScalar1,Pride2,,BlaskoG,Pride2_Sense6
STOP,Collect2,Sense6,,BlaskoG,Pride2_Sense6
STOP,Tokenize2,Sense6,,BlaskoG,Pride2_Sense6
QUEUE,ComputeScalar2,Sense6,,BlaskoG,Pride2_Sense6
QUEUE,ComputeScalar3,Pride2_Sense6,,BlaskoG,Pride2_Sense6
START,ComputeScalar2,Sense6,,BlaskoG,Pride2_Sense6
STOP,ComputeScalar2,Sense6,,BlaskoG,Pride2_Sense6
START,ComputeScalar3,Pride2_Sense6,,BlaskoG,Pride2_Sense6
STOP,ComputeScalar3,Pride2_Sense6,,BlaskoG,Pride2_Sense6
QUEUE,ComputeCosine,Pride2_Sense6,,BlaskoG,Pride2_Sense6
START,ComputeCosine,Pride2_Sense6,,BlaskoG,Pride2_Sense6
STOP,ComputeCosine,Pride2_Sense6,,BlaskoG,Pride2_Sense6
QUEUE,Tokenize1,Pride3,,BlaskoG,Pride3_Sense1
QUEUE,Tokenize2,Sense1,,BlaskoG,Pride3_Sense1
START,Tokenize1,Pride3,,BlaskoG,Pride3_Sense1
START,Tokenize2,Sense1,,BlaskoG,Pride3_Sense1
QUEUE,Collect2,Sense1,,BlaskoG,Pride3_Sense1
START,Collect2,Sense1,,BlaskoG,Pride3_Sense1
QUEUE,Collect1,Pride3,,BlaskoG,Pride3_Sense1
START,Collect1,Pride3,,BlaskoG,Pride3_Sense1
STOP,Collect2,Sense1,,BlaskoG,Pride3_Sense1
STOP,Tokenize2,Sense1,,BlaskoG,Pride3_Sense1
STOP,Collect1,Pride3,,BlaskoG,Pride3_Sense1
STOP,Tokenize1,Pride3,,BlaskoG,Pride3_Sense1
QUEUE,ComputeScalar1,Pride3,,BlaskoG,Pride3_Sense1
QUEUE,ComputeScalar2,Sense1,,BlaskoG,Pride3_Sense1
START,ComputeScalar1,Pride3,,BlaskoG,Pride3_Sense1
STOP,ComputeScalar1,Pride3,,BlaskoG,Pride3_Sense1
QUEUE,ComputeScalar3,Pride3_Sense1,,BlaskoG,Pride3_Sense1
START,ComputeScalar2,Sense1,,BlaskoG,Pride3_Sense1
STOP,ComputeScalar2,Sense1,,BlaskoG,Pride3_Sense1
START,ComputeScalar3,Pride3_Sense1,,BlaskoG,Pride3_Sense1
STOP,ComputeScalar3,Pride3_Sense1,,BlaskoG,Pride3_Sense1
QUEUE,ComputeCosine,Pride3_Sense1,,BlaskoG,Pride3_Sense1
START,ComputeCosine,Pride3_Sense1,,BlaskoG,Pride3_Sense1
STOP,ComputeCosine,Pride3_Sense1,,BlaskoG,Pride3_Sense1
QUEUE,Tokenize1,Pride3,,BlaskoG,Pride3_Sense2
QUEUE,Tokenize2,Sense2,,BlaskoG,Pride3_Sense2
START,Tokenize1,Pride3,,BlaskoG,Pride3_Sense2
START,Tokenize2,Sense2,,BlaskoG,Pride3_Sense2
QUEUE,Collect1,Pride3,,BlaskoG,Pride3_Sense2
START,Collect1,Pride3,,BlaskoG,Pride3_Sense2
QUEUE,Collect2,Sense2,,BlaskoG,Pride3_Sense2
START,Collect2,Sense2,,BlaskoG,Pride3_Sense2
STOP,Collect2,Sense2,,BlaskoG,Pride3_Sense2
STOP,Tokenize2,Sense2,,BlaskoG,Pride3_Sense2
STOP,Collect1,Pride3,,BlaskoG,Pride3_Sense2
STOP,Tokenize1,Pride3,,BlaskoG,Pride3_Sense2
QUEUE,ComputeScalar1,Pride3,,BlaskoG,Pride3_Sense2
QUEUE,ComputeScalar2,Sense2,,BlaskoG,Pride3_Sense2
QUEUE,ComputeScalar3,Pride3_Sense2,,BlaskoG,Pride3_Sense2
START,ComputeScalar2,Sense2,,BlaskoG,Pride3_Sense2
START,ComputeScalar1,Pride3,,BlaskoG,Pride3_Sense2
STOP,ComputeScalar1,Pride3,,BlaskoG,Pride3_Sense2
STOP,ComputeScalar2,Sense2,,BlaskoG,Pride3_Sense2
START,ComputeScalar3,Pride3_Sense2,,BlaskoG,Pride3_Sense2
STOP,ComputeScalar3,Pride3_Sense2,,BlaskoG,Pride3_Sense2
QUEUE,ComputeCosine,Pride3_Sense2,,BlaskoG,Pride3_Sense2
START,ComputeCosine,Pride3_Sense2,,BlaskoG,Pride3_Sense2
STOP,ComputeCosine,Pride3_Sense2,,BlaskoG,Pride3_Sense2
QUEUE,Tokenize1,Pride3,,BlaskoG,Pride3_Sense3
QUEUE,Tokenize2,Sense3,,BlaskoG,Pride3_Sense3
START,Tokenize1,Pride3,,BlaskoG,Pride3_Sense3
START,Tokenize2,Sense3,,BlaskoG,Pride3_Sense3
QUEUE,Collect2,Sense3,,BlaskoG,Pride3_Sense3
START,Collect2,Sense3,,BlaskoG,Pride3_Sense3
QUEUE,Collect1,Pride3,,BlaskoG,Pride3_Sense3
START,Collect1,Pride3,,BlaskoG,Pride3_Sense3
STOP,Collect1,Pride3,,BlaskoG,Pride3_Sense3
STOP,Tokenize1,Pride3,,BlaskoG,Pride3_Sense3
STOP,Collect2,Sense3,,BlaskoG,Pride3_Sense3
STOP,Tokenize2,Sense3,,BlaskoG,Pride3_Sense3
QUEUE,ComputeScalar1,Pride3,,BlaskoG,Pride3_Sense3
QUEUE,ComputeScalar2,Sense3,,BlaskoG,Pride3_Sense3
START,ComputeScalar1,Pride3,,BlaskoG,Pride3_Sense3
QUEUE,ComputeScalar3,Pride3_Sense3,,BlaskoG,Pride3_Sense3
START,ComputeScalar2,Sense3,,BlaskoG,Pride3_Sense3
START,ComputeScalar3,Pride3_Sense3,,BlaskoG,Pride3_Sense3
STOP,ComputeScalar1,Pride3,,BlaskoG,Pride3_Sense3
STOP,ComputeScalar2,Sense3,,BlaskoG,Pride3_Sense3
STOP,ComputeScalar3,Pride3_Sense3,,BlaskoG,Pride3_Sense3
QUEUE,ComputeCosine,Pride3_Sense3,,BlaskoG,Pride3_Sense3
START,ComputeCosine,Pride3_Sense3,,BlaskoG,Pride3_Sense3
STOP,ComputeCosine,Pride3_Sense3,,BlaskoG,Pride3_Sense3
QUEUE,Tokenize1,Pride3,,BlaskoG,Pride3_Sense4
QUEUE,Tokenize2,Sense4,,BlaskoG,Pride3_Sense4
START,Tokenize1,Pride3,,BlaskoG,Pride3_Sense4
START,Tokenize2,Sense4,,BlaskoG,Pride3_Sense4
QUEUE,Collect1,Pride3,,BlaskoG,Pride3_Sense4
START,Collect1,Pride3,,BlaskoG,Pride3_Sense4
QUEUE,Collect2,Sense4,,BlaskoG,Pride3_Sense4
START,Collect2,Sense4,,BlaskoG,Pride3_Sense4
STOP,Collect1,Pride3,,BlaskoG,Pride3_Sense4
STOP,Tokenize1,Pride3,,BlaskoG,Pride3_Sense4
STOP,Collect2,Sense4,,BlaskoG,Pride3_Sense4
STOP,Tokenize2,Sense4,,BlaskoG,Pride3_Sense4
QUEUE,ComputeScalar1,Pride3,,BlaskoG,Pride3_Sense4
QUEUE,ComputeScalar2,Sense4,,BlaskoG,Pride3_Sense4
START,ComputeScalar1,Pride3,,BlaskoG,Pride3_Sense4
QUEUE,ComputeScalar3,Pride3_Sense4,,BlaskoG,Pride3_Sense4
START,ComputeScalar2,Sense4,,BlaskoG,Pride3_Sense4
STOP,ComputeScalar2,Sense4,,BlaskoG,Pride3_Sense4
STOP,ComputeScalar1,Pride3,,BlaskoG,Pride3_Sense4
START,ComputeScalar3,Pride3_Sense4,,BlaskoG,Pride3_Sense4
STOP,ComputeScalar3,Pride3_Sense4,,BlaskoG,Pride3_Sense4
QUEUE,ComputeCosine,Pride3_Sense4,,BlaskoG,Pride3_Sense4
START,ComputeCosine,Pride3_Sense4,,BlaskoG,Pride3_Sense4
STOP,ComputeCosine,Pride3_Sense4,,BlaskoG,Pride3_Sense4
QUEUE,Tokenize1,Pride3,,BlaskoG,Pride3_Sense5
QUEUE,Tokenize2,Sense5,,BlaskoG,Pride3_Sense5
START,Tokenize1,Pride3,,BlaskoG,Pride3_Sense5
START,Tokenize2,Sense5,,BlaskoG,Pride3_Sense5
QUEUE,Collect1,Pride3,,BlaskoG,Pride3_Sense5
START,Collect1,Pride3,,BlaskoG,Pride3_Sense5
STOP,Collect1,Pride3,,BlaskoG,Pride3_Sense5
STOP,Tokenize1,Pride3,,BlaskoG,Pride3_Sense5
